Year,GLD,WTI,CPER,KOL,SP500,CPI,EPU,UST10Y,USDINR,BRENT_diff
2011-12-01,169.6300049,100.1999969,25.20000076,364.7000122,1244.579956,225.672,115.59,2.11,51.36,2.569999699999997
2012-01-01,169.59500125,98.90499875500001,26.25,359.6000061,1284.334961,226.66750000000002,119.36,1.99,50.316900000000004,2.569999699999997
2012-02-01,169.5599976,97.61000061,27.29999924,354.5,1324.089966,227.663,123.13,1.87,49.2738,2.569999699999997
2012-03-01,166.6100006,108.8399963,27.71999931,350.2999878,1374.089966,229.392,91.38,2.03,49.14,14.6399993
2012-04-01,163.92164334918033,107.47803284754099,27.364262189508196,333.3262204081967,1390.2150378032786,229.60696721311476,91.52737704918033,2.004590163934426,50.84754098360656,3.8763965540983616
2012-05-01,161.3200073,106.1600037,27.02000046,316.8999939,1405.819946,229.815,91.67,1.98,52.5,-6.539993199999998
2012-06-01,157.5,83.23000336,23.37999916,243.5,1278.040039,229.478,169.4,1.47,55.44,-21.230003390000007
2012-07-01,156.33934396721313,86.0234461304918,23.783278635409836,239.31967213114754,1325.8826162131147,229.92111475409837,154.3409836065574,1.5142622950819673,55.45475409836065,-7.0857400227868865
2012-08-01,155.1399994,88.91000366,24.20000076,235.0,1375.319946,230.379,138.78,1.56,55.47,7.529998790000008
2012-09-01,163.8555700704918,90.72426580262295,25.053770438688527,235.0,1410.4719355737705,230.85568852459016,158.797868852459,1.600655737704918,53.94032786885246,6.869345344262295
2012-10-01,172.2899933,92.48000336,25.87999916,235.0,1444.48999,231.317,178.17,1.64,52.46,6.230003299999993
2012-11-01,166.0700073,87.08999634,24.84000015,259.1000061,1427.589966,230.221,196.81,1.75,53.76,-4.0200042000000025
2012-12-01,164.56348216956522,90.57260513347826,25.342173740217394,257.01304657826086,1455.496513173913,230.8552391304348,173.2013043478261,1.8445652173913043,53.56434782608695,0.09195496304347639
2013-01-01,163.0067395347826,94.17130088673913,25.861086450108697,254.85652173913041,1484.3332785869566,231.51061956521738,148.80565217391305,1.9422826086956522,53.36217391304348,4.340979431521738
2013-02-01,161.4499969,97.76999664,26.37999916,252.6999969,1513.170044,232.166,124.41,2.04,53.16,8.5900039
