Year,GLD,WTI,BRENT,CPER,KOL,SP500,CPI,EPU,UST10Y,USDINR
01-03-2018,124.7200012,60.99000168,65.70999908,19.94000053,171.8000031,2677.669922,249.554,69.3,2.81,65.2
01-05-2018,123.7099991,67.25,75.16999817,19.36000061,152.1999969,2654.800049,251.588,101.87,2.97,66.52
01-06-2018,122.4899979,65.80999756,77.58999634,19.64999962,169.1999969,2734.620117,251.989,109.62,2.89,66.99
01-08-2018,115.1399994,67.66000366,74.25,17.29000092,163,2813.360107,252.146,57.71,3,68.37
01-10-2018,112.5699997,75.30000305,84.98000336,17.47999954,156.3000031,2924.590088,252.885,166.69,3.09,72.92
01-11-2018,116.6299973,63.68999863,75.5,17.04999924,151.1000061,2740.370117,252.038,84.17,3.14,73.45
01-02-2019,124.5,55.25999832,61.86999893,17.31999969,141.1999969,2706.530029,252.776,95.81,2.7,71.41
01-03-2019,121.8799973,55.79999924,65.06999969,18.26000023,137.8999939,2803.689941,254.202,110.76,2.76,70.9
01-04-2019,121.5299988,61.59000015,69.01000214,18.29999924,137.6999969,2867.189941,255.548,117.34,2.49,69.18
01-05-2019,120.4000015,63.59999847,72.18000031,17.47999954,134.2449951,2923.72998,256.092,112.75,2.52,69.52
01-07-2019,130.6199951,59.09000015,65.05999756,16.77000046,134,2964.330078,256.571,174.62,2.03,68.87
01-08-2019,136.4100037,53.95000076,60.5,16.45999908,117.8000031,2953.560059,256.558,150.2,1.9,69
01-10-2019,139.6300049,53.61999893,58.88999939,16.09000015,107.4059982,2940.25,257.346,65.08,1.65,71.11
01-11-2019,142.5599976,56.20000076,61.68999863,16.67000008,110.3000031,3066.909912,257.208,35.14,1.73,70.76
01-04-2020,149.4499969,20.30999947,24.73999977,13.56999969,60.79999924,2470.5,256.389,474.81,0.62,76.4
01-05-2020,159.7799988,19.78000069,26.44000053,14.55000019,62.18000031,2830.709961,256.394,516.72,0.64,75.75
01-06-2020,163.6600037,35.43999863,38.31999969,15.59000015,71.15000153,3055.72998,257.797,226.8,0.66,75.56
01-07-2020,166.6199951,39.81999969,42.02999878,17.11000061,71.4835968,3115.860107,259.101,329.62,0.69,75.5
01-09-2020,185.0500031,42.75999832,45.58000183,18.72999954,75,3526.649902,260.28,204.69,0.68,73
01-10-2020,178.6999969,38.72000122,40.93000031,17.86000061,78.74169922,3380.800049,260.388,259.5,0.68,73.18
01-12-2020,170.1799927,44.54999924,47.41999817,21.71999931,92.01049805,3662.449951,260.474,248.2,0.92,73.51
